id;name;surname;age;group;gpa
0;Domini;Garci;9;4 E;3.85
1;Kayl;Alle;19;1 E;4.32
2;Sierr;Robinso;12;3 F;4.64
3;Anthon;Butle;13;5 A;3.69
4;Aida;Powel;14;5 A;3.78
5;Amand;Smit;18;2 A;2.36
6;Sea;Powel;14;11 F;3.1
7;Susa;Hughe;14;11 E;2.31
8;Antoni;Gree;11;5 A;2.38
9;Dieg;Castill;11;11 E;3.57
10;Sophi;Ston;20;5 B;3.78
11;Ambe;Evan;17;11 E;4.87
12;Samue;Romer;19;2 D;2.56
13;Ala;Taylo;20;10 D;4.39
14;Sandr;Hughe;14;11 C;4.23
15;Aaro;Kell;12;5 B;3.02
16;Angelin;Gibso;11;3 D;4.41
17;Sara;Johnso;18;8 C;3.38
18;Sandr;Jame;20;10 D;3.8
19;Aver;Blac;18;3 F;4.18
20;Andre;Bryan;10;10 D;3.73
21;Simo;Mill;15;11 C;4.73
22;Shirle;Nelso;14;2 A;2.16
23;Dougla;Coope;20;2 D;4.57
24;Alex;Moor;14;11 C;4.25
25;Alis;Meye;16;11 F;3.97
26;Davi;Coo;13;4 F;2.54
27;Sophi;Pere;17;2 B;4.24
28;Arian;Ree;20;1 E;3.1
29;Shirle;Rya;19;4 F;2.48
30;Denni;Roger;20;11 E;3.4
31;Ala;Jimene;14;7 D;3.5
32;Katherin;Barne;13;9 A;4.85
33;Samue;Gordo;12;10 D;2.18
34;Sandr;Anderso;10;5 B;2.29
35;Shirle;Powel;15;2 D;2.94
36;Aver;Co;14;11 F;2.91
37;Amand;Mill;19;8 C;3.91
38;Dieg;Ramo;11;7 D;2.33
39;Alfre;Morri;16;4 C;2.87
40;Davi;Freema;18;11 C;4.95
41;Shirle;Murph;11;4 F;3.58
42;Danie;Alvare;20;6 B;3.22
43;Ange;Kenned;11;8 C;2.43
44;Ada;Gibso;20;8 C;4.54
45;Samue;Jame;17;3 D;4.93
46;Denni;Moren;16;4 B;3.6
47;Stephani;Howar;16;7 D;4.34
48;Davi;Snyde;14;5 A;4.3
49;Angelin;Gonzale;9;7 D;3.47
50;Ad;Henderso;11;2 B;4.43
51;Set;Morga;13;5 B;4.07
52;Aida;Myer;11;5 A;4.38
53;Alexi;Patterso;13;6 B;4.44
54;Aida;Sha;13;11 C;3.04
55;Kathry;Ree;16;4 F;3.71
56;Agath;Rodrigue;10;1 D;3.39
57;Ad;Rodrigue;11;8 C;3.96
58;Sar;Barne;17;3 D;3.34
59;Aida;Holme;11;11 C;2.56
60;Alliso;Pate;20;9 A;4.4
61;Sara;Russel;19;7 D;3.22
62;Alyss;Jone;13;4 E;3.39
